gender,ethnicity,age_category,year_assessment,height,weight,bmi
Girl,Turkish,13-16 years,1999,157,48,19.473407
Girl,Turkish,13-16 years,1999,158,50,20.028842
Girl,Maroccan,13-16 years,1999,163,57,21.453574
Girl,Maroccan,13-16 years,1999,163,62,23.335466
Girl,Maroccan,13-16 years,1999,156,53,21.778435
Boy,Surinamese South Asian,13-16 years,1999,165,47.5,17.447199
Girl,Turkish,13-16 years,1999,161,79,30.477219
Boy,Surinamese South Asian,13-16 years,1999,172,59,19.943213
Girl,Maroccan,13-16 years,1999,161,56,21.604105
Girl,Surinamese South Asian,13-16 years,1999,152,39,16.880194
Boy,Turkish,13-16 years,1999,164,53,19.705532
Girl,Maroccan,13-16 years,1999,162,56,21.338211
Boy,Turkish,13-16 years,1999,162,64,24.386526
Boy,Maroccan,13-16 years,1999,166,52,18.870663
Girl,Turkish,13-16 years,1999,166,59,21.410945
Girl,Maroccan,13-16 years,1999,149,53,23.872799
Girl,Maroccan,13-16 years,1999,151,56,24.560326
Girl,Surinamese South Asian,13-16 years,1999,159,58.5,23.139907
Girl,Maroccan,13-16 years,1999,165,54,19.834711
Girl,Turkish,13-16 years,1999,148,40,18.261505
Girl,Turkish,13-16 years,1999,159,63,24.9199
Girl,Maroccan,13-16 years,1999,171,52,17.78325
Girl,Turkish,13-16 years,1999,164,64,23.79536
Girl,Maroccan,13-16 years,1999,163,77,28.981143
Girl,Maroccan,13-16 years,1999,155,55,22.89282
Boy,Maroccan,13-16 years,1999,176,68,21.952479
Girl,Maroccan,13-16 years,1999,162,48,18.289895
Boy,Turkish,13-16 years,1999,165,55,20.20202
Girl,Maroccan,13-16 years,1999,157,50,20.284799
Girl,Maroccan,13-16 years,1999,163,53,19.94806
Boy,Maroccan,13-16 years,1999,174,55,18.166204
Boy,Surinamese South Asian,13-16 years,1999,178,48,15.149602
Girl,Surinamese South Asian,13-16 years,1999,152,43,18.611496
Boy,Turkish,13-16 years,1999,159,48,18.986591
Girl,Turkish,13-16 years,1999,158,50,20.028842
Girl,Turkish,13-16 years,1999,153,39,16.660259
Girl,Turkish,13-16 years,1999,156,52,21.367521
Boy,Maroccan,13-16 years,1999,150,33.5,14.888889
Boy,Turkish,13-16 years,1999,155,45,18.730489
Girl,Turkish,13-16 years,1999,165,60,22.038567
Girl,Turkish,13-16 years,1999,159,49,19.382145
Boy,Maroccan,13-16 years,1999,158,57,22.832879
Girl,Maroccan,13-16 years,1999,168,55,19.486961
Girl,Turkish,13-16 years,1999,160,63,24.609375
Boy,Maroccan,13-16 years,1999,173,69,23.054562
Girl,Maroccan,13-16 years,1999,163,46,17.31341
Boy,Maroccan,13-16 years,1999,161,48,18.517804
Girl,Maroccan,13-16 years,1999,150,50,22.222222
Boy,Turkish,13-16 years,1999,165,58,21.303949
Boy,Turkish,13-16 years,1999,156,37,15.203813
Girl,Turkish,13-16 years,1999,157,95,38.541117
Girl,Turkish,13-16 years,1999,168,71,25.155896
Boy,Maroccan,13-16 years,1999,165,59,21.671258
Girl,Maroccan,13-16 years,1999,160,53,20.703125
Boy,Maroccan,13-16 years,1999,158,38,15.22192
Girl,Turkish,13-16 years,1999,166,87,31.572071
Girl,Maroccan,13-16 years,1999,163,55,20.700817
